NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt050_011,50,2,82.00950562900107,81.632648,13.88114800000001,9.54070800000001,2.4926049999999975,67.55819,0.189746999999997,3.8825860000000887,1.2265520000000123,0,23028,23028,0.001217391304294896,23028,23000,2218,449,1,21/06/12,15000,1,0.8,4,43454,8824,20,0.2,false,0,0,0,0,0,110,0,0
wt050_016,50,2,85.073821623002,84.570789,41.923403,24.111447999999974,1.8842640000000017,42.527892,0.11538400000000593,6.951927999999583,1.7512679999998966,0,46072,46072,0.0013257699245544376,46072,46011,10497,488,10,21/06/12,15000,1,0.8,4,38272,6591,20,0.2,false,0,0,0,0,0,110,0,0
wt050_021,50,2,30.621503931004554,30.415195999999998,3.083629000000002,2.9748499999999964,2.7994100000000017,27.18996,0.13914800000000227,1.4246390000000595,0.03956499999999963,0,111069,111069,1.8007148837926595e-05,111069,111067,930,800,1,21/06/12,15000,1,0.8,4,36837,2003,20,0.2,false,0,0,0,0,0,110,0,0
wt050_026,50,2,26.117315258001327,26.015882,0.8510349999999995,0.846185000000002,0.8461859999999994,25.029615000000003,0.13243699999999947,0.5482180000000234,0.027380000000000848,0,26,26,0,26,26,222,222,0,21/06/12,15000,1,0.8,4,42722,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_031,50,2,75.27026429100079,74.869219,30.020133,18.500960000000028,1.6086059999999947,44.685821999999995,0.16034499999999952,9.117224999999799,3.5981179999999497,0,5378,5378,0.01682737757291976,5378,5289,3913,361,7,21/06/12,15000,1,0.8,4,50634,21978,20,0.2,false,0,0,0,0,0,110,0,0
wt050_036,50,2,82.31200958000409,81.78643,26.243901,18.01509700000001,2.600794999999998,55.399328,0.14043500000000364,6.052983000000097,1.2848869999999977,0,18956,18956,0.003440791911310106,18956,18891,6408,515,5,21/06/12,15000,1,0.8,4,52878,9315,20,0.2,false,0,0,0,0,0,110,0,0
wt050_041,50,2,145.44438361500215,144.641807,73.08632599999999,46.37891100000006,4.335205000000002,71.334375,0.21853800000000945,14.06933699999901,4.519378000000032,0,38058,38058,0.0027930016862670478,38058,37952,11427,684,10,21/06/12,15000,1,0.8,4,50054,8629,20,0.2,false,0,0,0,0,0,110,0,0
wt050_046,50,2,123.85307126200496,123.07793899999999,68.816148,48.210692000000016,3.9020419999999945,54.077313000000004,0.18108900000000006,10.172578000000044,2.032755999999985,0,82105,82105,0.0002558354855970002,82105,82084,14564,615,10,21/06/12,15000,1,0.8,4,41180,4806,20,0.2,false,0,0,0,0,0,110,0,0
wt050_051,50,2,0.29205998499674024,0.258455,0.05548100000000003,0.04782599999999998,0.04782799999999998,0.0013859999999999983,0.197314,0.047804999999999986,0.03542000000000001,0,0,0,0,0,0,1,1,0,21/06/12,15000,1,0.8,4,45580,0,20,0.2,false,0,0,0,0,0,110,0,0
wt050_056,50,2,63.21496251299686,62.849992,12.430790000000002,7.647030999999991,1.3823300000000032,50.238351,0.17738199999999438,5.315469000000057,2.8390160000000435,0,761,761,0.04246575336648527,761,730,1106,260,9,21/06/12,15000,1,0.8,4,48655,24472,20,0.2,false,0,0,0,0,0,110,0,0
wt050_061,50,2,180.04509641700133,178.77817199999998,98.574935,59.91896499999973,3.690835000000007,79.950946,0.24856599999999673,22.204359999998985,9.30377499999986,0,13682,13682,0.007362685907277081,13682,13582,13119,460,19,21/06/12,15000,1,0.8,4,60495,13858,20,0.2,false,0,0,0,0,0,110,0,0
wt050_066,50,2,72.7084203800041,72.383561,4.258868000000007,4.247550000000004,4.247551999999999,67.95624,0.16475299999999038,1.9022490000000118,0.059651999999999816,0,40907,40907,0,40907,40907,708,708,0,21/06/12,15000,1,0.8,4,42415,0,20,0.2,false,0,0,0,0,0,110,0,0
